#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
NoCArc@MICRO,Maurizio Palesi(7),Terrence S. T. Mak(6),Sergi Abadal(5),Kun-Chih Jimmy Chen(4),Masoud Daneshtalab(4),Davide Bertozzi(4),M. Watheq El-Kharashi(4),Shashi Kumar(4),Christof Teuscher(3),John Jose(3)
NoCS,Jörg Henkel(1),Sudhakar Yalamanchili(1),Luca Benini(1),Davide Bertozzi(1)
NoVenueSpecified,Kia Makki(7),Yahiko Kambayashi(7),Ellen M. Voorhees(7),Niki Pissinou(6),Andrzej Skowron(6),Lori P. Buckland(6),C. J. van Rijsbergen(6),Umeshwar Dayal(6),Werner Nutt(6),Ngoc Thanh Nguyen(6)
Nomos-Verlag-Gesellschaft,Susanne Stürmer(1)
Nonclassical Logics and Information Processing,David Pearce 0001(2),Heinrich Wansing(2),Peter Schroeder-Heister(1),Ewa Orlowska(1),André Fuhrmann(1),Jürgen Gehne(1),Gerd Wagner 0001(1),Heinrich Herre(1),Michael Morreau(1),Christian Schumacher(1)
Nonmonotonic Reasoning, Answer Set Programming and Constraints,Ilkka Niemelä(3),Torsten Schaub(3),Miroslaw Truszczynski(3),Gerhard Brewka(3),Jeffrey B. Remmel(2),Victor W. Marek(2),Rafal Grabos(1),Joost Vennekens(1),Igor Stéphan(1),Laurent Garcia(1)
Nonparametric Methods,Pranab Kumar Sen(7),Paruchuri R. Krishnaiah(3),Marie Husková(2),Ulrich Müller-Funk(1),P. K. Bhattacharya(1),Myles Hollander(1),Solomon Kullback(1),Gail Mitchell(1),H. Sam Wieand(1),S. Rao Jammalamadaka(1)
NorCAS,Peeter Ellervee(1),Kari Halonen(1),Jari Nurmi(1),Juha Röning(1)
Nord. J. Comput.,Kai Koskimies(8),Jan Arne Telle(6),Christos Levcopoulos(5),Helmut Seidl(5),Görel Hedin(5),Kaisa Sere(4),Magne Haveraaen(4),Ivan Porres(4),Ludwik Kuzniarz(4),Pinar Heggernes(4)
NordSec,Tuomas Aura(8),Audun Jøsang(5),Peeter Laud(5),Ahto Buldas(5),N. Asokan(4),Tobias Pulls(4),Alejandro Russo(4),Billy Bob Brumley(4),Risto Laanoja(4),Joaquín García-Alfaro(4)
NordiCHI,Susanne Boll(18),Wilko Heuten(15),Morten Fjeld(12),Manfred Tscheligi(11),Jonna Häkkilä(11),Roope Raisamo(10),Jesper Kjeldskov(9),Marc Hassenzahl(9),Effie Lai-Chong Law(9),Janet C. Read(9)
North Holland / Elsevier,Alice ter Meulen(1),Jorge Urrutia(1),Johan van Benthem(1),Jörg-Rüdiger Sack(1)
Numer. Algorithms,Claude Brezinski(47),Lothar Reichel(33),John C. Butcher(25),Walter Gautschi(25),Ioannis K. Argyros(24),Gérard Meurant(18),Michela Redivo-Zaglia(16),Hassane Sadok(16),Marc Van Barel(15),Zdzislaw Jackiewicz(15)
Numer. Linear Algebra Appl.,Owe Axelsson(30),Panayot S. Vassilevski(28),Michael K. Ng(27),Yousef Saad(23),Yimin Wei(22),Zhong-Zhi Bai(21),Lothar Reichel(21),Liqun Qi 0001(16),Stefano Serra Capizzano(14),Yvan Notay(12)
Numerical Computer Methods, Part D,Rajgopal Srinivasan(1),Hugh Nymeyer(1),Narasimha Sreerama(1),Charlie E. M. Strauss(1),Norma J. Greenfield(1),Robert W. Woody(1),David Baker(1),Zhenhua Zhang(1),Carol A. Rohl(1),Ole G. Mouritsen(1)
Numerical Methods and Application,Ivan Dimov(3),Zahari Zlatev(3),Mikhail Krastanov(2),Tzvetan Semerdjiev(2),Christo A. Kabakchiev(2),Todor V. Gurov(2),Aneta Karaivanova(2),Petr N. Vabishchevich(2),Emanouil I. Atanassov(2),Milena R. Racheva(2)
Numerical Validation in Current Hardware Architectures,Walter Krämer(12),Wolfram Luther(6),Peter W. Markstein(5),Annie A. M. Cuyt(5),Michael Zimmer 0002(4),Werner Hofschuster(4),Mariana Luderitz Kolberg(3),Markus Neher 0001(3),R. Baker Kearfott(2),Di Jiang(2)
Numerische Mathematik,Carsten Carstensen(40),Christian Lubich(20),Christoph Schwab(19),Ricardo H. Nochetto(17),Reinhold Schneider(15),Wolfgang Hackbusch(14),Jinchao Xu(14),Ernst P. Stephan(14),Joachim Schöberl(13),Ian H. Sloan(13)
O'Reilly,Greg Wilson(1),Andy Oram(1),Julie Steele(1),John Allspaw(1),Jesse Robbins(1),Noah Illinsky(1)
OASC,Kustaa Kangas(1),Matti Järvisalo(1),Jan N. van Rijn(1),Brandon M. Malone(1),Lars Kotthoff(1),Roberto Amadini(1),Frank Hutter(1),François Gonard(1),Marc Schoenauer(1),Michèle Sebag(1)
OBD,Jürgen Umbrich(2),Sebastian Neumaier(2),Jürgen Sieck(1),Marta Rukoz(1),Thiago Vieira(1),Luepol Pipanmaekaporn(1),Yuan-Yuan Sun(1),Ibtehal Nafea(1),Asaph Azaria(1),Ariel Ekblaw(1)
OBIE@LAK,Daniel T. Hickey(3),James E. Willis III(3),Jelena Jovanovic(2),Nikola Milikic(1),Michael Olneck(1),Zoran Sevarac(1),Heather Toomey Zimmerman(1),Joseph R. Fanfarelli(1),Steven Lonn(1),Joshua D. Quick(1)
OBPDC,Akinori Yonezawa(2),Jean-Marc Geib(2),Benoît Garbinato(1),Corinne Servieres(1),Alain Kerbrat(1),Toshihiro Nishioka(1),Rodger Lea(1),Peter Starup Jensen(1),Slim Ben Atallah(1),Jean-Paul Routeau(1)
OC@ICAC,Hartmut Schmeck(2),Alexander von Renteln(1),Yaochu Jin(1),Florian Nafz(1),André M. Machado(1),Christian Müller-Schloer(1),Michael Beigl(1),Christian Scheel(1),Uwe Brinkschulte(1),Benjamin Werdehausen(1)
OCCE,Eric Sanchez(4),Andreas Bollin(4),Torsten Brinda(3),Mathew Hillier(3),Therese Keane(2),Halvdan Haugsbakken(2),Ulrik Schroeder(2),Nathaniel Lyon(2),Peter Micheuz(2),Yoshiaki Matsuzawa(2)
OCLC Syst. Serv.,Norm Medeiros(54),Robert Fox(41),H. Frank Cervone(39),Elizabeth Yakel(12),Randall C. Jimerson(10),Jeremy Frumkin(7),Linda Cantara(5),Dennis Nicholson(4),Toby Burrows(3),Sheau-Hwang Chang(3)
ODBIS,A Min Tjoa(1),Manuel A. Serrano(1),Hassina Bounif(1),N. L. Sarda(1),Domenico Beneventano(1),Rosalie Belian(1),Stuart E. Madnick(1),Damires Souza(1),Yingwen Chen(1),Christophe Nicolle(1)
ODLS,Heinrich Herre(4),Ludger Jansen(3),Alexandr Uciteli(2),Stefan Schulz 0001(2),Daniel Schober(2),Thomas Neumuth(1),Adrien Barton(1),Warren J. Read(1),Wolfgang Müller 0001(1),Stefan Kropf(1)
OFC,David J. Richardson(74),Gee-Kung Chang(71),Jianjun Yu(66),Nicolas K. Fontaine(56),Roland Ryf(50),Dimitra Simeonidou(49),Naoya Wada(47),Alan E. Willner(45),Yutaka Miyamoto(45),Haoshuo Chen(45)
OGRS,Julien Perret(2),Erwan Bocher(2),Eduardo Corbelle Rico(1),Sébastien Mustière(1),Johannes Brauner(1),Pierre Loustau(1),Eric Grosso(1),Ofer Arazy(1),Guilherme Lúcio Abelha Mota(1),Maxence Laurent(1)
OHS-7/SC-3/AH-3,Manolis Tzagarakis(3),David L. Hicks(3),David De Roure(3),Uffe Kock Wiil(3),Kenneth M. Anderson(2),Peter J. Nürnberg(2),Paul De Bra(2),Danius T. Michaelides(2),Monica M. C. Schraefel(2),Susanne A. Sherba(2)
OIC,Terry L. Janssen(5),Leo Obrst(4),Werner Ceusters(4),Mike Dean(3),Dave Kolas(2),Kathryn Blackmond Laskey(2),Paulo C. G. Costa(2),Richard Sward(1),Richard Lee(1),Fabian Neuhaus(1)
OIWIR, Oldenburger Verlag für Wirtschaft, Informatik und Recht,Stefan Flöring(1)
OM,Jérôme Euzenat(25),Pavel Shvaiko(21),Heiner Stuckenschmidt(17),Ernesto Jiménez-Ruiz(16),Christian Meilicke(15),Cássia Trojahn dos Santos(12),Isabel F. Cruz(12),Bernardo Cuenca Grau(11),Heiko Paulheim(10),Catia Pesquita(9)
OM@ISWC,Ernesto Jiménez-Ruiz(17),Cássia Trojahn(13),Michelle Cheatham(10),Jérôme Euzenat(10),Catia Pesquita(9),Kate Revoredo(9),Daniel Faria(9),Élodie Thiéblin(9),Pavel Shvaiko(8),Abderrahmane Khiat(8)
ONS,Minlan Yu(4),Li Erran Li(3),Matthew Caesar(2),Stefan Schmid 0001(2),Sachin Katti(2),Wenchao Zhou(2),Xenofontas A. Dimitropoulos(1),Brent Stephens(1),Abdulla Alwabel(1),Eric Rozner(1)
ONTOBRAS,Mara Abel(12),Mauricio Barcellos Almeida(9),João Paulo A. Almeida(8),Ricardo de Almeida Falbo(8),Giancarlo Guizzardi(8),Renata Wassermann(7),Renata Vieira(6),Monalessa Perini Barcellos(6),Fernanda Araujo Baião(6),Daniela Schmidt(5)
OODBS,David Maier 0001(4),Klaus R. Dittrich(3),Stanley B. Zdonik(3),Earl F. Ecklund Jr.(2),Goetz Graefe(2),Johann Christoph Freytag(2),Alan Dearle(2),Alejandro P. Buchmann(2),Arne-Jørgen Berre(2),Sylvia L. Osborn(2)
OOER,Gunter Saake(2),Tok Wang Ling(2),Janusz R. Getta(2),Nacer Boudjlida(1),Valeria De Antonellis(1),Qing Li(1),Avigdor Gal(1),Christian Huemer(1),Maguelonne Teisseire(1),Vram Kouramajian(1)
OOIS Workshops,Robert B. France(3),Geri Georg(2),Hernán Astudillo(2),Raul Moreira Vidal(1),François Mekerke(1),Omar Boucelma(1),Gabriela Arévalo(1),R. Venkatesh(1),Alain Sigayret(1),Eliezer Kantorowitz(1)
OOPS Messenger,Dennis de Champeaux(9),Peter Coad(7),Grady Booch(6),James Coplien(6),Steven Fraser 0001(6),Chris Laffra(5),Haim Kilov(4),Russel L. Winder(4),Timothy D. Korson(4),Mohamed Fayad(4)
OOPSLA Practitioners Reports,Will Loew-Blosser(1),Joe Armstrong(1),Tom Dickens(1),William Ingram III(1),Joseph A. Blotner(1),Mamdouh Ibrahim(1),Rodney D. Brown(1),Janet Borzuchowski(1),Michael Hirsch(1),Katherine Radeka(1)
OR 2.0/CARE/CLIP/ISIC@MICCAI,Marco A. Zenati(3),Danail Stoyanov(2),Thomas Neumuth(2),Miguel Ángel González Ballester(2),Sandra Avila(2),Russell H. Taylor(2),David Arney(2),Mathias Unberath(2),Julian M. Goldman(2),Fábio Perez(2)
ORMaCloud,Patrizio Dazzi(2),Ana-Maria Oprescu(1),Massimo Coppola(1),Thilo Kielmann(1),Djawida Dib(1),Omer F. Rana(1),Marco Vanneschi(1),Nick J. Avis(1),Nikos Parlavantzas(1),Thomas H. Beach(1)
ORSUM@RecSys,Alípio Mário Jorge(2),João Vinagre(2),Babak Loni(1),Anne Schuth(1),Fei Li(1),Marie Al-Ghossein(1),Shaked Bar(1),Xiaonan Meng(1),Albert Bifet(1),Musen Wen(1)
OSDI,M. Frans Kaashoek(17),Nickolai Zeldovich(13),Jason Flinn(11),Remzi H. Arpaci-Dusseau(10),Ion Stoica(10),Larry L. Peterson(10),Andrea C. Arpaci-Dusseau(10),Robert Tappan Morris(8),Peter Druschel(8),Michael Stumm(8)
OSIRRC@SIGIR,Tetsuya Sakai(3),Ryan Clancy(3),Claudia Hauff(3),Ze Zhong Wu(3),Nicola Ferro 0001(3),Jimmy Lin(3),Timo Breuer(2),Arjen P. de Vries(2),Chris Kamphuis(2),Philipp Schaer(2)
OST,Tobias Ley(4),Mikko Ruohonen(2),Kati Tikkamäki(2),Peeter Normak(2),Juha Leino(2),Arthur Tatnall(2),Johanna Sommers-Piiroinen(2),Nicholas B. Mavengere(2),Hanna M. Olsson(2),Erika Tanhua-Piiroinen(2)
OTM Conferences (1),Wil M. P. van der Aalst(22),Frank Leymann(13),Robert Meersman(13),Manfred Reichert(12),Arthur H. M. ter Hofstede(11),Stefanie Rinderle-Ma(10),Walid Gaaloul(8),Samir Tata(8),Mathias Weske(7),Marcello La Rosa(7)
OTM Workshops (1),Pilar Herrero(10),Robert Meersman(5),Fernando Ferri(4),Patrizia Grifoni(3),Arianna D'Ulizia(3),Terry A. Halpin(3),Annika Hinze(3),Gonzalo Méndez 0001(3),Antonia Albani(3),Bart De Moor(2)
OZCHI,Margot Brereton(59),Frank Vetere(34),Jesper Kjeldskov(27),Bernd Ploderer(27),Marcus Foth(26),Toni Robertson(24),Jeni Paay(23),Tuck Wah Leong(22),Stephen Viller(21),Mark Billinghurst(20)
Object Orientation with Parallelism and Persistence,Cliff B. Jones(2),Hans-Jörg Schek(2),Christian Lengauer(2),Michael G. Norman(1),Martin Steffen(1),Klaus R. Dittrich(1),Bart Jacobs 0001(1),Jean-Marc Andreoli(1),Dimitris Tombros(1),Steve J. Hodges(1)
Object-Based Concurrent Computing,Mario Tokoro(4),Oscar Nierstrasz(3),Peter Wegner(2),Pierre America(2),Akinori Yonezawa(2),Bridget Walsh(1),Thorsten Hartmann(1),Etsuya Shibayama(1),Marc Bourgois(1),Alexis A. Donnelly(1)
Object-Oriented Concepts, Databases, and Applications,Oscar Nierstrasz(3),Won Kim 0001(2),Dennis Tsichritzis(2),David Maier 0001(2),David Beech(1),Christer Hulten(1),Andrea H. Skarra(1),S. Leichner(1),Eugene J. Shekita(1),Tore Risch(1)
Objects, Agents, and Features,John-Jules Ch. Meyer(3),Mark Dermot Ryan(2),Hans-Dieter Ehrich(2),Gunter Saake(1),Maritta Heisel(1),Martin Wirsing(1),Walter Cazzola(1),Jeanine Souquières(1),Reiko Heckel(1),Cees Pierik(1)
Objektbanken für Experten,Rudolf Bayer(3),Theo Härder(3),Ulrich Güntzer(2),Franz-Josef Leick(2),Stefan Deßloch(2),Nelson Mendonça Mattos(2),Peter C. Lockemann(2),Hans-Jörg Schek(2),Marc H. Scholl(2),Matthias Jarke(1)
Objektorientierte Software- und Hardwarearchitekturen,Herbert Stoyan(2),Reinhold Güth(2),Peter Schnupp(2),Gerd Quecke(1),Peter M. Behr(1),Franco di Primio(1),Barbara Dürre(1),Wolfram Bartussek(1),Hans Mau(1),Christoph Oeters(1)
OcRI,John Oladosu(3),Aliyu Ahmed(2),Mikail Olayemi Olaniyi(2),Chukwunonso Nwokoye(2),Jonathan Gana Kolo(2),Joel Nnamdi Ugwu(2),Oluwafemi Osho(2),Virginia E. Ejiofor(2),A. B. Adeyemo(2),Stephven Oyetoro(1)
Odyssey,Patrick Kenny(23),Douglas A. Reynolds(21),Tomi Kinnunen(19),Jean-François Bonastre(19),Sridha Sridharan(15),Alvin F. Martin(15),Oldrich Plchot(14),Haizhou Li 0001(14),Najim Dehak(14),Lukás Burget(13)
OlWIR, Oldenburger Verlag fuuml;r Wirtschaft, Informatik und Recht,Jonas Jacobi(1)
Oldenbourg Verlag, Müchen, Wien,Kurt-Ulrich Witt(1),Gottfried Vossen(1)
Olms,Gerhard Pfeiffer-Jäger(1),Christa Womser-Hacker(1),Mohamed Badawi(1),Klaus-Dirk Schmitz(1),Alain Hsiung(1),Gerda Ruge(1),Pius ten Hacken(1),Jutta Marx(1)
On Fuzziness (2),Enric Trillas(3),Claudio Moraga(3),Rudolf Seising(3),Settimo Termini(3),José A. Olivas(1),John T. (Terry) Rickard(1),Peter Vojtás(1),Eleanor Rosch(1),Elisabeth Rakus-Andersson(1),María G. Navarro(1)
On-Line Algorithms,Prabhakar Raghavan(3),Kirk Pruhs(2),Bala Kalyanasundaram(2),Baruch Schieber(2),Douglas B. West(1),Sandy Irani(1),Ding-Zhu Du(1),Hal A. Kierstead(1),Joan M. Lucas(1),Jeffery R. Westbrook(1)
Online Worlds: Convergence of the Real and the Virtual,William Sims Bainbridge(6),Wayne G. Lutters(2),Diana R. Rhoten(2),Nigel Foreman(1),Bonnie A. Nardi(1),Richard Childers(1),M. Audrey Korsgaard(1),Henry Kelly(1),Dmitri Williams(1),Arnold Picot(1)
Online-Systeme im Finanz- und Rechnungswesen,Joachim Griese(2),Peter Stahlknecht(2),Klaus-Dieter Fröhner(1),Manfred Weyer(1),Johannes Puhl(1),Hermann Langer(1),Horst Zimmermann(1),Paul Riebel(1),Herbert Obermüller(1),Christof Möller(1)
Ontologie und Axiomatik der Wissensbasis von LILOG,Thomas Pirlein(3),Gudrun Klose(3),Ewald Lang(3),Geoffrey Simmons(2),Peter Gerstl(2),Kai von Luck(1),Claudia Maienborn(1),Hans-Joachim Novak(1),Zuzana Krifka Dobes(1),Martin Mayer(1)
Ontologies,Bernd Carsten Stahl(2),Michael Rosemann(1),Thomas A. Horan(1),Dragan Gasevic(1),Richard J. Burkhard(1),Martha W. Evens(1),Chu-Ren Huang(1),Dencho N. Batanov(1),Charu Chandra(1),António A. C. Monteiro(1)
Ontologies and Text Mining for Life Sciences,Michael Ashburner(3),Ulf Leser(3),Dimitra Alexopoulou(2),Dietrich Rebholz-Schuhmann(2),Thomas Wächter(2),Jörg Hakenberg(2),Michael Schroeder 0001(2),Fidel Ramírez(1),Ian Lewin(1),Thaibinh Luong(1)
Ontology Theory, Management and Design,Wassim Jaziri(2),Rafael Berlanga-Llavori(1),Christophe Jouis(1),Faïez Gargouri(1),Claude Moulin(1),Zouhaier Brahmia(1),Aicha Boubekeur(1),Boutheina Ben Yaghlane(1),Thabet Slimani(1),Khaled Mellouli(1)
OntologyLearning@COLING/ACL,Manabu Okumura(1),Paul Buitelaar(1),Fabian M. Suchanek(1),Roberto Navigli(1),Sanae Fujita(1),Enrico Motta(1),Philipp Cimiano(1),Marie-Francine Moens(1),Berenike Loos(1),Emanuele Pianta(1)
Open Distributed Processing,Kerry Raymond(7),Mirion Bearman(4),Bernd Mahr(3),Jan de Meer(2),Ralf-Detlef Kutsche(2),Horst Hansen(2),Michael A. Bauer 0001(2),Patrick J. Finnigan(2),Tom Rodden(2),Jacob Slonim(2)
Open J. Internet Things,Sven Groppe(4),Markus Endler(4),Andreas Heuer 0001(3),Carlo Alberto Boano(3),Cintia B. Margi(3),Hannes Grunert(3),Renan C. A. Alves(3),Gowri Sankar Ramachandran(2),Flávia Coimbra Delicato(2),Jonathan Fürst(2)
Open J. Semantic Web,Sven Groppe(3),Petr Kremen(3),Amal Zouaq(2),Michel Gagnon(2),Stefan Werner 0001(2),Dennis Heinrich(2),Tatiana N. Erekhinskaya(1),Srividya K. Bansal(1),Miroslav Blasko(1),Irena Holubová(1)
OpenSHMEM,Manjunath Gorentla Venkata(28),Neena Imam(17),Swaroop Pophale(12),Pavel Shamis(8),James Dinan(7),Matthew B. Baker(7),Oscar R. Hernandez(7),Barbara M. Chapman(7),Tony Curtis(5),Dhabaleswar K. Panda(5)
OpenSky,Martin Strohmeier(3),Vincent Lenders(2),Gérôme Bovet(1),Luchi Zhang(1),Roberto Calvo-Palomino(1),Hazem Sallouha(1),Xiaole Zhang(1),Junzi Sun(1),Jake Glass(1),Christina Pöpper(1)
Oper. Res.,Dimitris Bertsimas(44),Awi Federgruen(41),Ward Whitt(38),David Simchi-Levi(36),Lawrence M. Wein(27),Paul H. Zipkin(25),David D. Yao(24),Constantin Zopounidis(23),Gilbert Laporte(23),Ralph L. Keeney(22)
Operating Systems of the 90s and Beyond,John B. Carter(1),Willy Zwaenepoel(1),Edward D. Lazowska(1),Richard D. Schlichting(1),Winfried E. Kühnhauser(1),Brian Randell(1),Jürgen Nehmer(1),John K. Bennett(1),James N. Thomas(1),Michael G. Lamming(1)
Operations research and the public sector,Michael D. Maltz(2),Arnold Barnett(2),Lowell Bruce Anderson(2),Stephen M. Pollock(2),Michael H. Rothkopf(2),Yigal Gerchak(1),Edward A. Wasil(1),Howard Kunreuther(1),Nigel H. M. Wilson(1),Paul R. Kleindorfer(1)
Optimization Techniques,A. I. Egorov(3),Alain Haurie(3),Jacques-Louis Lions(3),Jean-Pierre Kernévez(3),Ronald R. Mohler(3),Jean Cea(3),Guri I. Marchuk(3),Andrew B. Whinston(2),R. Conti(2),L. Le Letty(2)
OrdRing@ISWC,Markus Krötzsch(2),Irene Celino(2),Emanuele Della Valle(2),Axel Polleres(2),Stefan Schlobach(2),Dennis Thomas(1),Elena S. Peterson(1),Tu Ngoc Nguyen(1),Alejandro Llaves(1),Danilo Ardagna(1)
Organic Computing - Controlled Emergence,Rolf P. Würtz(4),Christian Müller-Schloer(3),Kirstie L. Bellman(3),Peter Hofmann(3),Hartmut Schmeck(3),Christoph von der Malsburg(1),Oliver Imbusch(1),Falk Langhammer(1),Günter Westphal(1),Guido von Walter(1)
Organic Computing - Controlled Self-organization,Michael G. Hinchey(3),Rolf P. Würtz(3),Kirstie L. Bellman(3),Hartmut Schmeck(3),Christian Müller-Schloer(3),Andreas Hofmann(1),Peter Janacik(1),Andreas Bernauer(1),Björn Sander(1),Dirk Fritz(1)
Organisation informationstechnik-gestützter öffentlicher Verwaltung,Claus-Peter Matt(3),Wilfried Frankenbach(2),Volker Bihl(2),Klaus Grimmer(2),Klaus Lenk(2),Hartmut Picht(2),Hanns Püschel(2),Karl-Heinz Dittrich(1),Werner Jann(1),Hans-Alexander Kaiserauer(1)
Organizational Dynamics of Technology-Based Innovation,David Wastell(4),Mike W. Chiasson(2),Boumediene Ramdani(2),Tom McMaster(2),Anna Börjesson(2),David Bray(1),Anders Baaz(1),Ramesh Lal(1),Frank Land(1),Alex Schulz(1)
Organizational Semiotics,Edwina Taborsky(2),Rodney J. Clarke(2),Ewa Braf(2),Mikael Lind(1),Michael S. H. Heng(1),Daniel O'Connor(1),Alex A. Verrijn-Stuart(1),Alexander Mehler(1),Frieder Nake(1),Maria Cecília Calani Baranauskas(1)
Otto Neurath and the Unity of Science,Thomas Bonk(2),Jan Wolenski(1),Tatiana Karachentsev(1),Ahti-Veikko Pietarinen(1),Robert L. Causey(1),Karlheinz Barck(1),Juan Manuel Torres(1),Jan Sebestik(1),Andrés Rivadulla(1),Sheldon Steed(1)
Over-Constrained Systems,Michael Jampel(3),Eugene C. Freuder(3),Richard J. Wallace(3),Stefano Bistarelli(1),Yannis C. Stamatiou(1),Hélène Fargier(1),Rolf Weißschnur(1),Bjørn N. Freeman-Benson(1),Alan Borning(1),Gérard Verfaillie(1)
P2P,David Hausheer(7),Dominik Stingl(5),Marc Sánchez Artigas(5),Roger Wattenhofer(5),Haiying Shen(5),Guoxin Liu(4),Pedro García López(4),Dario Rossi(4),Christian Gross 0001(4),Johan A. Pouwelse(4)
PAAMS (Workshops),Pawel Pawlewski(23),Vicente Julián(20),Fernando Lopes 0001(16),Paulo Novais(14),Zita A. Vale(13),Tiago Pinto(12),Demetrio Arturo Ovalle(11),Juan M. Corchado(11),Hugo Algarvio(11),Javier Bajo(10)
PAAMS Workshops,Paulina Golinska(1),Rafael Corchuelo(1),Juan M. Corchado(1),Kasper Hallenborg(1),Javier Bajo Pérez(1)
PAAR/ESHOL,Geoff Sutcliffe(4),Adam Pease(2),Steven Trac(2),Patrick Wischnewski(1),Nachum Dershowitz(1),Paulo Pinheiro da Silva(1),Nick Siegel(1),Li Ding 0001(1),Cynthia Chang(1),Björn Pelzer(1)
PACIIA (1),Fuxue Zhang(4),Li Yue(4),Chen Ming(4),Xiaohui Peng 0005(4),Hongzhe Xu(4),Yaowu Chen(3),Peng Yang(3),Xiumin Chu(3),Wei Wang(3),Xiaosong Xu(3)
PACLIC,Chu-Ren Huang(58),Yuji Matsumoto 0001(22),Kentaro Inui(16),Kathleen Ahrens(14),Oi Yee Kwong(13),Kei Yoshimoto(12),Hiroyuki Shinnou(12),Kanako Komiya(11),Masaki Murata(11),Jong-Bok Kim(11)
PACO,Mohammad Reza Mousavi 0001(1),Rocco De Nicola(1),Farhad Arbab(1),Giorgio Delzanno(1),Gianluigi Zavattaro(1),Arnaud Sangnier(1),Allan van Hulst(1),Erik P. de Vink(1),Bert van Beek(1),Jasen Markovski(1)
PAKDD (2),Peter Christen(12),Svetha Venkatesh(10),Longbing Cao(10),Christos Faloutsos(9),Dinh Q. Phung(8),Vincent S. Tseng(7),Hong Shen 0001(7),Ming-Syan Chen(7),Hisashi Kashima(6),Joshua Zhexue Huang(5)
PAKM,Dimitris Karagiannis(7),Takahira Yamaguchi(7),Ulrich Reimer(6),Dimitris Apostolou(4),Richard Crowder(4),Naoki Fukuta(4),Gary B. Wills(4),Gregoris Mentzas(4),A Min Tjoa(3),Steffen Staab(3)
PAM,Renata Teixeira(14),Steve Uhlig(12),Anja Feldmann(12),Konstantina Papagiannaki(11),Mark Allman(11),Kimberly C. Claffy(10),Nevil Brownlee(9),Robert Beverly(9),Dario Rossi(8),Nick Feamster(8)
PAP@PKDD/ECML,Jaakko Hollmén(1),Virginie Sans(1),Tristan Allard(1),Francesca Pratesi(1),Fosca Giannotti(1),Sandra Mitrovic(1),Tobias Blanke(1),Anna Monreale(1),Mehrdad Bagheri(1),Wilfried Lemahieu(1)
PAPM-PROBMIV,Marta Z. Kwiatkowska(4),Mario Bravetti(3),Pedro R. D'Argenio(3),Holger Hermanns(3),Joost-Pieter Katoen(3),Gethin Norman(3),Boudewijn R. Haverkort(2),Henrik Ejersbo Jensen(2),Roberto Segala(2),Bertrand Jeannet(2)
PARA (2),Hannes Jónsson(3),Bartlomiej Jacek Kubica(2),Helmut Neukirchen(2),Bo Kågström(2),Sverker Holmgren(2),Markward Britsch(2),Frank Mueller(1),Alexey Siretskiy(1),Jun Hu(1),Magnus Gustafsson(1)
PARBASE / Architectures,Shmuel Rotenstreich(2),Qing Yang 0001(2),Jai Eun Jang(1),Scott Graham(1),Zary Segall(1),Arthur F. Dickinson(1),C. A. R. Hoare(1),Eduardo B. Fernández(1),V. Prasad Krothapalli(1),Suresh Chalasani(1)
PARLE,Paul H. J. Kelly(4),Martin Rem(4),Mike Reeve(4),Jean-Claude Syre(3),Erik H. D'Hollander(3),Guang R. Gao(3),Sajal K. Das 0001(3),José Duato(3),Evripidis Bampis(2),Lars-Erik Thorelli(2)
PARLE (1),Pier Giorgio Bosco(3),Paul H. J. Kelly(3),Sanjay V. Rajopadhye(2),Paul Anderson 0001(2),E. Aposporidis(2),Guang R. Gao(2),Willem G. Vree(2),Corrado Moiso(2),Geoffrey L. Burn(2),Chris Hankin(2)
PASCO@ISSAC,Michael B. Monagan(3),Marc Moreno Maza(2),Henrik Barthels(1),Florent Hivert(1),Matthew A. Lambert(1),Sardar Anisul Haque(1),Alan Wong(1),Blair Archibald(1),Dusan Bikov(1),Jeff Sommars(1)
PASTE,Mary Jean Harrold(6),Lori L. Pollock(5),William Pugh(5),Manuvir Das(4),Steven P. Reiss(4),Barbara G. Ryder(4),Clark Verbrugge(3),Cormac Flanagan(3),William G. Griswold(3),Barton P. Miller(3)
PATAT,Edmund K. Burke(17),Jeffrey H. Kingston(8),Barry McCollum(6),Sanja Petrovic(6),George M. White(5),Michael W. Carter(4),Michael A. Trick(4),Amnon Meisels(4),David Corne(4),Peter Ross(4)
PATCH@IUI,Tsvi Kuflik(3),Alan J. Wecker(3),Johan Oomen(2),Oliviero Stock(2),Lora Aroyo(1),Elena Bárcena(1),Timothy Read(1),Derek Williams(1),Michael John Gorman(1),Fionn Kidney(1)
PAW@SC,Steven A. Hofmeyr(2),Damian W. I. Rouson(2),Alessandro Fanfarillo(2),Brandon Cook 0001(1),Hidetoshi Iwashita(1),Bei Wang(1),Ben Albrecht(1),Bradford L. Chamberlain(1),Hongzhang Shan(1),Rob Egan(1)
PBFT,Wilhelm Dangelmaier(2),Alexander Blecken(2),Tim Neumann(2),Danny Szendrei(2),Andreas Rutsch(1),Jan Erik Gans(1),Philip Beske(1),Andrea Nagel(1),Bernd Schmalz(1),Cornelia Teich(1)
